"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"BOM";"COMMENT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGIKEY-PURCHASE-URL";"DK_PN";"JLC_PN";"MF";"MOUSER-PURCHASE-URL";"MP";"PACKAGE";"PN";"POPULARITY";"TP_SIGNAL_NAME";
"1";"";"PINHD-2X2";"2X02";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"7";"0";"RESISTOR_0603_NOOUT";"0603-NO";"R3, R4, R5, R6, R8, R9, R10";"Resistors";"";"";"";"";"";"";"P0.0GCT-ND";"0";"";"";"";"";"";"";"";
"1";"1-2295018-2";"1-2295018-2";"TE_1-2295018-2";"J2";"SPLASH PROOF USB TYPE C REC, DUAL SMT; Tape/Reel of 900";"https://snapeda.com/shop?store=Arrow+Electronics&id=2782217";"";"1-2295018-2";" USB TYPE C, REC OFFSET 0.65MM DUAL SMT ";"A124378CT-ND";"https://snapeda.com/shop?store=DigiKey&id=2782217";"";"";"TE Connectivity";"https://snapeda.com/shop?store=Mouser&id=2782217";"1-2295018-2";"None";"";"";"";
"2";"100k";"RESISTOR_0603_NOOUT";"0603-NO";"R1, R2";"Resistors";"";"";"";"";"";"";"P100KDBCT-ND";"100k";"";"";"";"";"";"";"";
"2";"10ÂµF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C6, C8";"Ceramic Capacitors";"";"";"";"";"";"";"490-14381-1-ND";"10uF";"";"";"";"";"";"";"";
"3";"1uF";"CAP_CERAMIC0603_NO";"0603-NO";"C1, C5, C7";"Ceramic Capacitors";"";"";"";"";"";"";"399-17705-1-ND";"1uF";"";"";"";"";"";"";"";
"1";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"R7";"Resistors";"";"";"";"";"";"";"P2.2KDBCT-ND";"2.2k";"";"";"";"";"";"";"";
"7";"AP102-2020";"APA1022020";"APA102_2020";"L1, L2, L3, L4, L5, L6, L7";"APA102/DotStar Pixels";"";"";"";"";"";"";"1528-1826-ND";"";"";"";"";"";"3341";"";"";
"1";"AP2112K-3.3";"VREG_SOT23-5";"SOT23-5";"U2";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"AP2112K-3.3TRG1DICT-ND";"AP2112K-3.3TRG1";"";"";"";"";"AP2112K-3.3TRG1";"";"";
"1";"ATSAMD21G18";"ATSAMD21G_QFN";"TQFN48_7MM";"U$4";"";"";"";"";"";"";"";"ATSAMD21G18A-MU-ND";"";"";"";"";"";"ATSAMD21G18A-MU";"";"";
"2";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"FIDUCIAL_1MM";"U$34, U$35";"Fiducial Alignment Points";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MBR120";"DIODE_SOD-123FL";"SOD-123FL";"D2";"Diode";"";"";"";"";"";"";"MBR120LSFT1GOSCT-ND";"MBR120LSF";"";"";"";"";"";"";"";
"1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"L";"LED";"";"";"";"";"";"";"475-1415-1-ND";"RED LED";"";"";"";"";"";"";"";
"1";"SPST_TACT-KMR2";"SPST_TACT-KMR2";"KMR2";"SW1";"SMT 6mm switch, EVQQ2 series";"";"";"";"";"";"";"401-1426-1-ND";"";"";"";"";"";"KMR211GLFS";"";"";
"4";"TPB1,27";"TPB1,27";"B1,27";"TP1, TP2, TP3, TP4";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";
"1";"flash";"SPIFLASH_8PINUX";"USON8";"U1";"SOIC8 SPI Flash";"";"";"";"";"";"";"1970-1011-1-ND";"";"";"";"";"";"GD25Q16CEIGR";"";"";
